abortion,10,17.947124,36807.79,3680.78
fatigue,11,17.947124,11967.86,1087.99
remanufacturing,13,17.947124,98300.52,7561.58
gps,13,17.947124,13475.03,1036.54
decedents,10,17.947124,126366.87,12636.69
eid,18,17.947124,99886.14,5549.23
atms,11,17.947124,65825.09,5984.1
mailings,12,17.947124,11450.74,954.23
tobacco,207,17.93349,2926424.35,14137.32
safe,206,17.77129,2724662.4,13226.52
nurse,223,17.77129,3984712.14,17868.66
natural,199,17.75554,1863727.4,9365.46
marcellus,12,17.736404,16999.15,1416.6
tanning,11,17.736404,28054.21,2550.38
pleadings,13,17.736404,55349.38,4257.64
ferry,11,17.736404,9129.29,829.94
complainant,17,17.736404,32984.83,1940.28
telemedicine,11,17.736404,170713.96,15519.45
kinship,18,17.736404,78948.5,4386.03
asian,18,17.736404,42645.66,2369.2
kennedy,12,17.736404,1944.44,162.04
planners,13,17.736404,205007.2,15769.78
valor,18,17.736404,84655.37,4703.08
naturopathic,12,17.736404,87707.66,7308.97
communicable,11,17.736404,17315.84,1574.17
tower,14,17.736404,6881.43,491.53
art,13,17.736404,17272.75,1328.67
webster,12,17.736404,332.97,27.75
selfservice,14,17.736404,64378.35,4598.45
dispensation,12,17.736404,272812.73,22734.39
franchise,195,17.72429,1003349.21,5145.38
trustees,207,17.693363,503546.04,2432.59
display,210,17.617409,1149435.94,5473.5
existing,217,17.617409,1063347.57,4900.22
quality,216,17.602448,3462659.83,16030.83
selfinsurers,13,17.545784,291981.03,22460.08
micro,22,17.545784,132748.42,6034.02
dr,16,17.545784,3888.89,243.06
ankle,20,17.545784,76523.91,3826.2
ultrasound,12,17.545784,33785.85,2815.49
syringes,13,17.545784,18107.6,1392.89
renters,15,17.545784,9028.9,601.93
menacing,16,17.545784,826.25,51.64
capitol,13,17.545784,22381.26,1721.64
troy,13,17.545784,13215.0,1016.54
rabies,13,17.545784,58090.92,4468.53
tree,12,17.545784,82405.73,6867.14
money,229,17.514206,1681520.79,7342.89
operators,229,17.499748,1280631.27,5592.28
group,239,17.499748,3679542.6,15395.58
theft,235,17.414434,1398530.99,5951.2
firearms,249,17.37267,1324425.33,5318.98
triathlon,22,17.371761,32393.77,1472.44
impairments,16,17.371761,45241.59,2827.6
judgeship,14,17.371761,5260.76,375.77
anatomical,13,17.371761,68111.15,5239.32
jobsgreen,13,17.371761,59701.56,4592.43
bike,15,17.371761,51178.3,3411.89
nonambulatory,13,17.371761,25973.76,1997.98
locator,15,17.371761,15083.33,1005.56
negotiable,15,17.371761,78437.38,5229.16
concord,14,17.371761,62333.92,4452.42
homes,236,17.358877,837084.09,3546.97
option,230,17.331478,2407404.4,10466.98
consular,16,17.211676,51654.0,3228.38
aides,14,17.211676,69054.87,4932.49
sight,21,17.211676,586944.91,27949.76
preparers,14,17.211676,61184.29,4370.31
basin,16,17.211676,52667.59,3291.72
pleading,16,17.211676,56.25,3.52
boats,14,17.211676,54803.73,3914.55
bow,14,17.211676,33899.35,2421.38
bowling,18,17.211676,128666.67,7148.15
objections,14,17.211676,59526.8,4251.91
crossbows,16,17.211676,51966.26,3247.89
viewing,15,17.211676,14.19,0.95
junk,15,17.211676,5269.11,351.27
haverstraw,14,17.211676,4818.93,344.21
garages,14,17.211676,240755.02,17196.79
grandparent,16,17.211676,14189.03,886.81
debt,281,17.185108,4293744.47,15280.23
people,240,17.159246,1044856.32,4353.57
bus,288,17.09555,1457426.31,5060.51
tank,17,17.06346,163293.1,9605.48
spanish,18,17.06346,16325.12,906.95
crabs,18,17.06346,696.61,38.7
forgery,20,17.06346,1273631.63,63681.58
slaughter,15,17.06346,25092.86,1672.86
rated,15,17.06346,24563.82,1637.59
shipments,18,17.06346,229069.04,12726.06
survivors,15,17.06346,19141.0,1276.07
syrup,16,17.06346,71038.29,4439.89
wild,16,17.06346,17226.82,1076.68
wrongfully,18,17.06346,87189.76,4843.88
defensive,19,17.06346,164075.34,8635.54
pm,17,17.06346,102349.52,6020.56
pools,16,17.06346,23234.95,1452.18
gate,16,17.06346,50359.46,3147.47
leave,257,17.05797,2642952.13,10283.86
estate,260,17.033176,1795167.28,6904.49
life,273,17.008587,1729057.25,6333.54
terms,250,16.996367,856306.97,3425.23
charter,283,16.972075,1421081.88,5021.49
wage,263,16.972075,2194049.66,8342.39
bonds,269,16.936003,816458.16,3035.16
kitchen,23,16.925474,43267.66,1881.2
accountants,16,16.925474,279621.27,17476.33
pilotage,17,16.925474,188479.14,11087.01
winery,19,16.925474,11869.49,624.71
landfill,17,16.925474,50545.52,2973.27
congestion,19,16.925474,1336056.02,70318.74
sea,17,16.925474,39093.23,2299.6
army,18,16.925474,818.18,45.45
satisfy,17,16.925474,181045.03,10649.71
agencys,19,16.925474,142538.09,7502.0
municipality,270,16.87683,1109934.66,4110.87
subsidy,20,16.796396,238527.26,11926.36
aquatic,19,16.796396,72903.27,3837.01
salvia,17,16.796396,211727.22,12454.54
returning,18,16.796396,10612.45,589.58
