"BILL_PERIOD","BILLNUMAMEND","BILL_NORM"
"2011-2012","S34","S34"
"2011-2012","S35","S35"
"2011-2012","S36","S36"
"2011-2012","S37","S37"
"2009-2010","A9891","A9891"
"2009-2010","A9892","A9892"
"2009-2010","A9893","A9893"
"2009-2010","A9894","A9894"
"2009-2010","A9895","A9895"
"2009-2010","A9896","A9896"
"2009-2010","A9897","A9897"
"2009-2010","A9898","A9898"
"2009-2010","A10306","A10306"
"2009-2010","A9899","A9899"
"2009-2010","A9900","A9900"
"2009-2010","A9901","A9901"
"2009-2010","A9902","A9902"
"2009-2010","A9903","A9903"
"2009-2010","A9915","A9915"
"2009-2010","A9916","A9916"
"2009-2010","A9917","A9917"
"2009-2010","A9918","A9918"
"2009-2010","A9919","A9919"
"2009-2010","A9920","A9920"
"2009-2010","A10075","A10075"
"2009-2010","A10076","A10076"
"2009-2010","A10077","A10077"
"2009-2010","A10078","A10078"
"2009-2010","A10079-A","A10079A"
"2009-2010","A10080","A10080"
"2009-2010","A10081","A10081"
"2009-2010","A10082","A10082"
"2009-2010","A10083-A","A10083A"
"2009-2010","A5573","A5573"
"2009-2010","A9978","A9978"
"2009-2010","A9979","A9979"
"2009-2010","A9980","A9980"
"2009-2010","A9981","A9981"
"2009-2010","A9982","A9982"
"2009-2010","A9861-A","A9861A"
"2009-2010","A10048","A10048"
"2009-2010","A10049","A10049"
"2009-2010","A10050-A","A10050A"
"2009-2010","A10051","A10051"
"2009-2010","A10052-A","A10052A"
"2009-2010","A10053-A","A10053A"
"2009-2010","A10054-A","A10054A"
"2009-2010","A9860-A","A9860A"
"2009-2010","A10055-B","A10055B"
"2011-2012","S38","S38"
"2009-2010","A9890","A9890"
"2009-2010","A10059-A","A10059A"
"2009-2010","A10060","A10060"
"2009-2010","A10061","A10061"
"2009-2010","A10062-A","A10062A"
"2009-2010","A10063","A10063"
"2009-2010","A10064","A10064"
"2009-2010","A10065-A","A10065A"
"2009-2010","A10066","A10066"
"2009-2010","A10067","A10067"
"2009-2010","A10068","A10068"
"2009-2010","A10069","A10069"
"2009-2010","A10070","A10070"
"2009-2010","A10071","A10071"
"2009-2010","A1597","A1597"
"2009-2010","A1598","A1598"
"2009-2010","A1599","A1599"
"2009-2010","A1600","A1600"
"2009-2010","A1601","A1601"
"2009-2010","A1602","A1602"
"2009-2010","A1603","A1603"
"2009-2010","A1604","A1604"
"2009-2010","A1605","A1605"
"2009-2010","A1606","A1606"
"2009-2010","A1607","A1607"
"2009-2010","A1608","A1608"
"2009-2010","A5574","A5574"
"2009-2010","A5575","A5575"
"2009-2010","A5576","A5576"
"2009-2010","A5577","A5577"
"2009-2010","A5578","A5578"
"2009-2010","A5579-A","A5579A"
"2009-2010","A5580","A5580"
"2009-2010","A5697","A5697"
"2009-2010","A5698","A5698"
"2009-2010","A5699","A5699"
"2009-2010","A5700-C","A5700C"
"2009-2010","A10056","A10056"
"2009-2010","A10057","A10057"
"2009-2010","A10058-B","A10058B"
"2009-2010","A9923-A","A9923A"
"2009-2010","A9924-A","A9924A"
"2009-2010","A9925","A9925"
"2009-2010","A9926","A9926"
"2009-2010","A9927","A9927"
"2009-2010","A9928","A9928"
"2009-2010","A9929","A9929"
"2009-2010","A9930","A9930"
"2009-2010","A9931","A9931"
"2009-2010","A9932","A9932"
"2009-2010","A10072","A10072"
"2009-2010","A1565","A1565"
"2009-2010","A1566-A","A1566A"
"2009-2010","A1567","A1567"
"2009-2010","A1568","A1568"
"2009-2010","A1569-A","A1569A"
"2009-2010","A1570","A1570"
"2009-2010","A1571","A1571"
"2009-2010","A1572","A1572"
"2009-2010","A1573","A1573"
"2009-2010","A1574","A1574"
"2009-2010","A1575","A1575"
"2009-2010","A1576","A1576"
"2009-2010","A9964","A9964"
"2009-2010","A10259","A10259"
"2009-2010","A10260","A10260"
"2009-2010","A10261-A","A10261A"
"2009-2010","A10262","A10262"
"2009-2010","A10263","A10263"
"2009-2010","A9740","A9740"
"2009-2010","A9741","A9741"
"2009-2010","A9742","A9742"
"2009-2010","A9743","A9743"
"2009-2010","A9744","A9744"
"2009-2010","A9745","A9745"
"2009-2010","A9746","A9746"
"2009-2010","A9747-A","A9747A"
"2009-2010","A9748","A9748"
"2009-2010","A10110","A10110"
"2009-2010","A10111","A10111"
"2009-2010","A10112","A10112"
"2009-2010","A10113","A10113"
"2009-2010","A10114","A10114"
"2009-2010","A9755-B","A9755B"
"2009-2010","A9756","A9756"
"2009-2010","A9757","A9757"
"2009-2010","A9758","A9758"
"2009-2010","A9759","A9759"
"2009-2010","A9760","A9760"
"2009-2010","A9761","A9761"
"2009-2010","A9762","A9762"
"2009-2010","A9848","A9848"
"2009-2010","A9933","A9933"
"2009-2010","A9922","A9922"
"2009-2010","A9921","A9921"
"2009-2010","A9934","A9934"
"2009-2010","A10324-A","A10324A"
"2009-2010","A10325","A10325"
"2009-2010","A10326","A10326"
"2009-2010","A10327","A10327"
"2009-2010","A10328","A10328"
"2009-2010","A10329","A10329"
"2009-2010","A10330","A10330"
"2009-2010","A10331","A10331"
"2009-2010","A10332-A","A10332A"
"2009-2010","A10247-A","A10247A"
"2009-2010","A10248-B","A10248B"
"2009-2010","A10249","A10249"
"2009-2010","A10250","A10250"
"2009-2010","A10251","A10251"
"2009-2010","A10252","A10252"
"2009-2010","A10253-A","A10253A"
"2009-2010","A10254","A10254"
"2009-2010","A10255-A","A10255A"
"2009-2010","A10256","A10256"
"2009-2010","A10257-D","A10257D"
"2009-2010","A10099","A10099"
"2009-2010","A5509","A5509"
"2009-2010","A5510","A5510"
"2009-2010","A5511","A5511"
"2009-2010","A5512","A5512"
"2009-2010","A5513","A5513"
"2009-2010","A5514","A5514"
"2009-2010","A5515","A5515"
"2009-2010","A5516","A5516"
"2009-2010","A5517","A5517"
"2009-2010","A5518-B","A5518B"
"2009-2010","A5378","A5378"
"2009-2010","A5379","A5379"
"2009-2010","A6007","A6007"
"2009-2010","A6008","A6008"
"2009-2010","A6009","A6009"
"2009-2010","A6010","A6010"
"2009-2010","A6011-A","A6011A"
"2009-2010","A5896","A5896"
"2009-2010","A5897","A5897"
"2009-2010","A5898","A5898"
"2009-2010","A5899","A5899"
"2009-2010","A5664","A5664"
"2009-2010","A5853","A5853"
"2009-2010","A5854","A5854"
"2009-2010","A5855","A5855"
"2009-2010","A5856","A5856"
"2009-2010","A5857-A","A5857A"
"2009-2010","A5858","A5858"
"2009-2010","A5859","A5859"
"2009-2010","A5860","A5860"
"2009-2010","A5861","A5861"
"2009-2010","A5701","A5701"
"2009-2010","A5702","A5702"
"2009-2010","A5543","A5543"
"2009-2010","A5665","A5665"
"2009-2010","A5666","A5666"
"2009-2010","A5667-C","A5667C"
"2009-2010","A5668","A5668"
"2009-2010","A5669-B","A5669B"
"2009-2010","A5670","A5670"
"2009-2010","A5671","A5671"
"2009-2010","A5587","A5587"
"2009-2010","A5588","A5588"
"2009-2010","A5380","A5380"
"2009-2010","A5381","A5381"
"2009-2010","A5382","A5382"
"2009-2010","A5555","A5555"
"2009-2010","A5556","A5556"
"2009-2010","A5557","A5557"
"2009-2010","A5558","A5558"
"2009-2010","A5559","A5559"
"2009-2010","A5560","A5560"
"2009-2010","A5410","A5410"
"2009-2010","A5411","A5411"
"2009-2010","A5900-A","A5900A"
"2009-2010","A5901","A5901"
"2009-2010","A3226","A3226"
"2009-2010","A3227","A3227"
"2009-2010","A3228","A3228"
"2009-2010","A3229","A3229"
"2009-2010","A3230","A3230"
"2009-2010","A6015-A","A6015A"
"2009-2010","A6016","A6016"
"2009-2010","A6017-A","A6017A"
"2009-2010","A6997","A6997"
"2009-2010","A5703","A5703"
"2009-2010","A5704-A","A5704A"
"2009-2010","A5705","A5705"
"2009-2010","A5706","A5706"
"2009-2010","A5707-A","A5707A"
"2009-2010","A5708-A","A5708A"
"2009-2010","A5709-A","A5709A"
"2009-2010","A5902","A5902"
"2009-2010","A5903","A5903"
"2009-2010","A5904","A5904"
"2009-2010","A5905","A5905"
"2009-2010","A5906","A5906"
"2009-2010","A5754","A5754"
"2009-2010","A5755","A5755"
"2009-2010","A5589","A5589"
"2009-2010","A5590","A5590"
"2009-2010","A5591","A5591"
"2009-2010","A5592","A5592"
"2009-2010","A5710-A","A5710A"
"2009-2010","A5711","A5711"
"2009-2010","A5712","A5712"
"2009-2010","A5713","A5713"
"2009-2010","A5586","A5586"
"2009-2010","A5636","A5636"
"2009-2010","A5637","A5637"
"2009-2010","A5638","A5638"
"2009-2010","A5639","A5639"
"2009-2010","A5640-A","A5640A"
"2009-2010","A5641","A5641"
"2009-2010","A5642","A5642"
"2009-2010","A5643","A5643"
"2009-2010","A5715","A5715"
"2009-2010","A5716","A5716"
"2009-2010","A5765","A5765"
"2009-2010","A5766","A5766"
"2009-2010","A6526-A","A6526A"
"2009-2010","A6995","A6995"
"2009-2010","A6996","A6996"
"2009-2010","A5770","A5770"
"2009-2010","A5771","A5771"
"2009-2010","A5772","A5772"
"2009-2010","A5773","A5773"
"2009-2010","A5774","A5774"
"2009-2010","A5775","A5775"
"2009-2010","A5776","A5776"
"2009-2010","A5982","A5982"
"2009-2010","A5983","A5983"
"2009-2010","A5811","A5811"
"2009-2010","A6998","A6998"
"2009-2010","A6999","A6999"
"2009-2010","A7000","A7000"
"2009-2010","A7001","A7001"
"2009-2010","A7002","A7002"
"2009-2010","A7003","A7003"
"2009-2010","A7004","A7004"
"2009-2010","A7131-A","A7131A"
"2009-2010","A7132-A","A7132A"
"2009-2010","A7133","A7133"
"2009-2010","A5672","A5672"
"2009-2010","A5673","A5673"
"2009-2010","A5674","A5674"
"2009-2010","A5864","A5864"
"2009-2010","A5865","A5865"
"2009-2010","A5866","A5866"
"2009-2010","A5867","A5867"
"2009-2010","A5868","A5868"
"2009-2010","A5869","A5869"
"2009-2010","A5870","A5870"
"2009-2010","A5871","A5871"
"2009-2010","A5872-A","A5872A"
"2009-2010","A5714","A5714"
"2009-2010","A5725","A5725"
"2009-2010","A5726-B","A5726B"
"2009-2010","A5727","A5727"
"2009-2010","A5728","A5728"
"2009-2010","A5729","A5729"
"2009-2010","A5915","A5915"
"2009-2010","A5916","A5916"
"2009-2010","A5917","A5917"
"2009-2010","A5918","A5918"
"2009-2010","A5919","A5919"
"2009-2010","A5767","A5767"
"2009-2010","A5768","A5768"
"2009-2010","A5769","A5769"
"2009-2010","A5812","A5812"
"2009-2010","A5813","A5813"
"2009-2010","A5814","A5814"
"2009-2010","A5815","A5815"
"2009-2010","A5816","A5816"
"2009-2010","A5817","A5817"
"2009-2010","A5818","A5818"
"2009-2010","A5819","A5819"
"2009-2010","A6022","A6022"
"2009-2010","A5874","A5874"
"2009-2010","A5875","A5875"
"2009-2010","A5876","A5876"
"2009-2010","A5966","A5966"
"2009-2010","A5967","A5967"
"2009-2010","A5968","A5968"
"2009-2010","A5969","A5969"
"2009-2010","A5970","A5970"
"2009-2010","A5971","A5971"
"2009-2010","A5972","A5972"
"2009-2010","A5973","A5973"
"2009-2010","A5974","A5974"
"2009-2010","A5873","A5873"
"2009-2010","A5975","A5975"
"2009-2010","A5976","A5976"
"2009-2010","A5920","A5920"
"2009-2010","A5921","A5921"
"2009-2010","A5922","A5922"
"2009-2010","A5923","A5923"
"2009-2010","A5924","A5924"
"2009-2010","A5925","A5925"
"2009-2010","A5926","A5926"
"2009-2010","A5394-A","A5394A"
"2009-2010","A5395","A5395"
"2009-2010","A5396","A5396"
"2009-2010","A5397","A5397"
"2009-2010","A5398","A5398"
"2009-2010","A5399","A5399"
"2009-2010","A5984","A5984"
"2009-2010","A5985-A","A5985A"
"2009-2010","A5986","A5986"
"2009-2010","A5402","A5402"
"2009-2010","A5403-A","A5403A"
"2009-2010","A5404","A5404"
"2009-2010","A5405","A5405"
"2009-2010","A5593","A5593"
"2009-2010","A5594","A5594"
"2009-2010","A5595","A5595"
"2009-2010","A5596","A5596"
"2009-2010","A5597","A5597"
"2009-2010","A5443","A5443"
"2009-2010","A5444","A5444"
"2009-2010","A5445","A5445"
"2009-2010","A5987","A5987"
"2009-2010","A5988","A5988"
"2009-2010","A5989","A5989"
"2009-2010","A5990","A5990"
"2009-2010","A5991","A5991"
"2009-2010","A5980","A5980"
"2009-2010","A5981","A5981"
"2009-2010","A5441","A5441"
"2009-2010","A6023","A6023"
"2009-2010","A6024","A6024"
"2009-2010","A6025","A6025"
"2009-2010","A6026","A6026"
"2009-2010","A6027","A6027"
"2009-2010","A6038","A6038"
"2009-2010","A6039","A6039"
"2009-2010","A6040","A6040"
"2009-2010","A6041","A6041"
"2009-2010","A6042","A6042"
"2009-2010","A6043","A6043"
"2009-2010","A6044","A6044"
"2009-2010","A5494","A5494"
"2009-2010","A5977","A5977"
"2009-2010","A5978","A5978"
"2009-2010","A5979","A5979"
"2009-2010","A5544","A5544"
"2009-2010","A5545","A5545"
"2009-2010","A5546","A5546"
"2009-2010","A5547","A5547"
"2009-2010","A5548","A5548"
"2009-2010","A5549-A","A5549A"
"2009-2010","A5550","A5550"
"2009-2010","A5551","A5551"
"2009-2010","A5400","A5400"
"2009-2010","A5401","A5401"
"2009-2010","A5446","A5446"
"2009-2010","A5447","A5447"
"2009-2010","A5448-A","A5448A"
"2009-2010","A5449","A5449"
"2009-2010","A5450","A5450"
"2009-2010","A5451","A5451"
"2009-2010","A5452","A5452"
"2009-2010","A5440","A5440"
"2009-2010","A5442","A5442"
"2009-2010","A5717","A5717"
"2009-2010","A5495","A5495"
"2009-2010","A5496","A5496"
"2009-2010","A5497","A5497"
"2009-2010","A5498-A","A5498A"
"2009-2010","A5499","A5499"
"2009-2010","A5500","A5500"
"2009-2010","A5501","A5501"
"2009-2010","A5502","A5502"
"2009-2010","A5503","A5503"
"2009-2010","A5504","A5504"
"2009-2010","A5505","A5505"
"2009-2010","A5506","A5506"
"2009-2010","A5507","A5507"
"2009-2010","A5508","A5508"
"2009-2010","A7134","A7134"
"2009-2010","A7135","A7135"
"2009-2010","A5552","A5552"
"2009-2010","A5553-A","A5553A"
"2009-2010","A5554","A5554"
"2009-2010","A5675","A5675"
"2009-2010","A5676","A5676"
"2009-2010","A5677","A5677"
"2009-2010","A5678","A5678"
"2009-2010","A10244-A","A10244A"
"2009-2010","A10245","A10245"
"2009-2010","A10235-A","A10235A"
"2009-2010","A10246","A10246"
"2009-2010","A10336","A10336"
"2009-2010","A10337-A","A10337A"
"2009-2010","A10338","A10338"
"2009-2010","A10339","A10339"
"2009-2010","A10340","A10340"
"2009-2010","A10341","A10341"
"2009-2010","A10342","A10342"
"2009-2010","A10343","A10343"
"2009-2010","A10117","A10117"
"2009-2010","A10118","A10118"
"2009-2010","A10119-A","A10119A"
"2009-2010","A10120-A","A10120A"
"2009-2010","A10165","A10165"
"2009-2010","A10166","A10166"
"2009-2010","A10167-A","A10167A"
"2009-2010","A10168","A10168"
"2009-2010","A10169","A10169"
"2009-2010","A10170","A10170"
"2009-2010","A10171","A10171"
"2009-2010","A10172-B","A10172B"
"2009-2010","A10173-A","A10173A"
"2009-2010","A10344-B","A10344B"
"2009-2010","A10345","A10345"
"2009-2010","A10346","A10346"
"2009-2010","A10347","A10347"
"2009-2010","A10348","A10348"
"2009-2010","A10349","A10349"
"2009-2010","A10350-A","A10350A"
"2009-2010","A10121","A10121"
"2009-2010","A10122-A","A10122A"
"2009-2010","A10123","A10123"
"2009-2010","A10124","A10124"
"2009-2010","A10125","A10125"
"2009-2010","A10126","A10126"
"2009-2010","A10115","A10115"
"2009-2010","A10127-A","A10127A"
"2009-2010","A10174","A10174"
"2009-2010","A10175","A10175"
"2009-2010","A10176-A","A10176A"
"2009-2010","A10177","A10177"
"2009-2010","A10178-A","A10178A"
"2009-2010","A10236","A10236"
"2009-2010","A10237","A10237"
"2009-2010","A10238-A","A10238A"
"2009-2010","A10239-A","A10239A"
"2009-2010","A10240","A10240"
"2009-2010","A10241","A10241"
"2009-2010","A10242","A10242"
"2009-2010","A10243","A10243"
"2009-2010","A10271","A10271"
"2009-2010","A10272-B","A10272B"
"2009-2010","A10273","A10273"
"2009-2010","A10274","A10274"
"2009-2010","A10275-A","A10275A"
"2009-2010","A10276-A","A10276A"
"2009-2010","A10277","A10277"
"2009-2010","A1515","A1515"
"2009-2010","A1516","A1516"
"2009-2010","A1517","A1517"
"2009-2010","A1518","A1518"
"2009-2010","A1519","A1519"
"2009-2010","A1520-A","A1520A"
"2009-2010","A1521","A1521"
"2009-2010","A1522","A1522"
"2009-2010","A10358","A10358"
"2009-2010","A10359","A10359"
"2009-2010","A10360","A10360"
"2009-2010","A10361","A10361"
"2009-2010","A10362","A10362"
"2009-2010","A10351","A10351"
"2009-2010","A10363","A10363"
"2009-2010","A9786","A9786"
"2009-2010","A9787-B","A9787B"
"2009-2010","A9788-A","A9788A"
"2009-2010","A9789","A9789"
"2009-2010","A9790","A9790"
"2009-2010","A9791","A9791"
"2009-2010","A9780","A9780"
"2009-2010","A9781","A9781"
"2009-2010","A9782","A9782"
"2009-2010","A9783","A9783"
"2009-2010","A9784-C","A9784C"
"2009-2010","A9785","A9785"
"2009-2010","A10264","A10264"
"2009-2010","A10265-A","A10265A"
"2009-2010","A10266","A10266"
"2009-2010","A10267","A10267"
"2009-2010","A10268","A10268"
"2009-2010","A10269-B","A10269B"
"2009-2010","A10270","A10270"
"2009-2010","A9792","A9792"
"2009-2010","A9992","A9992"
"2009-2010","A9993","A9993"
"2009-2010","A9994-A","A9994A"
"2009-2010","A9995","A9995"
"2009-2010","A9996","A9996"
"2009-2010","A9997","A9997"
"2009-2010","A9998-A","A9998A"
"2009-2010","A9863","A9863"
"2009-2010","A9864","A9864"
"2009-2010","A9865","A9865"
"2009-2010","A9866","A9866"
"2009-2010","A9867-A","A9867A"
"2009-2010","A9868","A9868"
"2009-2010","A1523","A1523"
"2009-2010","A1524","A1524"
"2009-2010","A1525","A1525"
"2009-2010","A1514","A1514"
"2009-2010","A1526","A1526"
"2009-2010","A1527-C","A1527C"
"2009-2010","A1528","A1528"
"2009-2010","A1529","A1529"
"2009-2010","A10352","A10352"
"2009-2010","A10353","A10353"
"2009-2010","A10354","A10354"
"2009-2010","A10355-B","A10355B"
"2009-2010","A10356-B","A10356B"
"2009-2010","A10357","A10357"
"2009-2010","A1535","A1535"
"2009-2010","A1536","A1536"
"2009-2010","A1537-F","A1537F"
"2009-2010","A1538-B","A1538B"
"2009-2010","A1539","A1539"
"2009-2010","A1540","A1540"
"2009-2010","A1541","A1541"
"2009-2010","A10364","A10364"
"2009-2010","A10365","A10365"
"2009-2010","A10366","A10366"
"2009-2010","A10367","A10367"
"2009-2010","A10003","A10003"
"2009-2010","A10004","A10004"
"2009-2010","A9793-A","A9793A"
"2009-2010","A9794","A9794"
"2009-2010","A9795-B","A9795B"
"2009-2010","A9796","A9796"
"2009-2010","A9797","A9797"
"2009-2010","A9798-A","A9798A"
"2009-2010","A10188","A10188"
"2009-2010","A10189","A10189"
"2009-2010","A10190","A10190"
"2009-2010","A10191","A10191"
"2009-2010","A10192","A10192"
"2009-2010","A10194","A10194"
"2009-2010","A10195","A10195"
"2009-2010","A10196","A10196"
"2009-2010","A10197","A10197"
"2009-2010","A10198-C","A10198C"
"2009-2010","A10199","A10199"
"2009-2010","A10200","A10200"
"2009-2010","A1542","A1542"
"2009-2010","A1629","A1629"
"2009-2010","A1630","A1630"
"2009-2010","A1631","A1631"
"2009-2010","A1632","A1632"
"2009-2010","A1633","A1633"
"2009-2010","A9869-C","A9869C"
"2009-2010","A9870","A9870"
"2009-2010","A9871","A9871"
"2009-2010","A9872","A9872"
"2009-2010","A9873","A9873"
"2009-2010","A9874","A9874"
"2009-2010","A9862","A9862"
"2009-2010","A9875","A9875"
"2009-2010","A9876","A9876"
"2009-2010","A1530-C","A1530C"
"2009-2010","A1531","A1531"
"2009-2010","A1532-A","A1532A"
"2009-2010","A1533","A1533"
"2009-2010","A1534","A1534"
"2009-2010","A10368","A10368"
"2009-2010","A10369-A","A10369A"
"2009-2010","A10370","A10370"
"2009-2010","A10371","A10371"
"2009-2010","A10372-A","A10372A"
"2009-2010","A10373-A","A10373A"
"2009-2010","A10384","A10384"
"2009-2010","A10385","A10385"
"2009-2010","A9999-A","A9999A"
"2009-2010","A10000-A","A10000A"
"2009-2010","A10001","A10001"
"2009-2010","A10002","A10002"
"2009-2010","A10193","A10193"
"2009-2010","A9807","A9807"
"2009-2010","A10005","A10005"
"2009-2010","A9799-A","A9799A"
"2009-2010","A10006","A10006"
"2009-2010","A9800-A","A9800A"
"2009-2010","A10007-A","A10007A"
"2009-2010","A10008-B","A10008B"
"2009-2010","A10009","A10009"
"2009-2010","A10010-A","A10010A"
"2009-2010","A10279","A10279"
"2009-2010","A10280","A10280"
"2009-2010","A10281","A10281"
"2009-2010","A10282","A10282"
"2009-2010","A10283","A10283"
"2009-2010","A1634","A1634"
"2009-2010","A1635","A1635"
"2009-2010","A1636","A1636"
"2009-2010","A1637","A1637"
"2009-2010","A1638","A1638"
"2009-2010","A1639","A1639"
"2009-2010","A1640","A1640"
"2009-2010","A10386","A10386"
"2009-2010","A10387","A10387"
"2009-2010","A10388","A10388"
"2009-2010","A10389","A10389"
"2009-2010","A10390","A10390"
"2009-2010","A10391","A10391"
"2009-2010","A10392-C","A10392C"
"2009-2010","A10393","A10393"
"2009-2010","A10394","A10394"
"2009-2010","A10395","A10395"
"2009-2010","A10396","A10396"
"2009-2010","A10397","A10397"
"2009-2010","A10398","A10398"
"2009-2010","A10399","A10399"
"2009-2010","A10400","A10400"
"2009-2010","A9801","A9801"
"2009-2010","A9802","A9802"
"2009-2010","A9803","A9803"
"2009-2010","A9804-A","A9804A"
"2009-2010","A9805","A9805"
"2009-2010","A9806","A9806"
"2011-2012","S15","S15"
"2011-2012","S16","S16"
"2011-2012","S17","S17"
"2011-2012","S18","S18"
"2011-2012","S19","S19"
"2011-2012","S20","S20"
"2011-2012","S21","S21"
"2011-2012","S22","S22"
"2011-2012","S23","S23"
"2011-2012","S74","S74"
"2011-2012","S75","S75"
"2011-2012","S76","S76"
"2011-2012","S77","S77"
"2011-2012","S416","S416"
"2011-2012","S417","S417"
"2011-2012","S418","S418"
"2011-2012","S70-A","S70A"
"2011-2012","S71","S71"
"2009-2010","A1577","A1577"
"2009-2010","A1578","A1578"
"2009-2010","A1579","A1579"
"2009-2010","A1580-B","A1580B"
"2009-2010","A1581","A1581"
"2009-2010","A1582-A","A1582A"
"2009-2010","A1583","A1583"
"2009-2010","A1584","A1584"
"2009-2010","A1585","A1585"
"2011-2012","S89","S89"
"2011-2012","S90","S90"
"2011-2012","S91","S91"
"2011-2012","S92","S92"
"2011-2012","S584","S584"
"2011-2012","S585","S585"
"2011-2012","S586-B","S586B"
"2011-2012","S587-A","S587A"
"2011-2012","S588","S588"
"2011-2012","S83-A","S83A"
"2011-2012","S113","S113"
"2011-2012","S114","S114"
"2011-2012","S115","S115"
"2011-2012","S116-A","S116A"
"2011-2012","S117-A","S117A"
"2011-2012","S118-A","S118A"
"2011-2012","S119-A","S119A"
"2011-2012","S1330","S1330"
"2011-2012","S1331","S1331"
"2011-2012","S1332","S1332"
"2011-2012","S1333","S1333"
"2011-2012","S1334","S1334"
"2011-2012","S1335","S1335"
"2011-2012","S535","S535"
"2011-2012","S536-A","S536A"
"2011-2012","S537-B","S537B"
"2011-2012","S538","S538"
"2011-2012","S539-A","S539A"
"2011-2012","S540","S540"
"2011-2012","S216-A","S216A"
"2011-2012","S218","S218"
"2011-2012","S230","S230"
"2011-2012","S231-A","S231A"
"2011-2012","S202","S202"
"2011-2012","S533","S533"
"2011-2012","S534","S534"
"2011-2012","S55","S55"
"2011-2012","S56","S56"
"2011-2012","S57","S57"
"2011-2012","S58","S58"
"2011-2012","S59-A","S59A"
"2011-2012","S60","S60"
"2011-2012","S61","S61"
"2011-2012","S65-A","S65A"
"2011-2012","S62","S62"
"2011-2012","S63-A","S63A"
"2011-2012","S64","S64"
"2011-2012","S2221","S2221"
"2011-2012","S2222","S2222"
"2011-2012","S2223","S2223"
"2011-2012","S1690","S1690"
"2011-2012","S888","S888"
"2011-2012","S889-A","S889A"
"2011-2012","S890-A","S890A"
"2011-2012","S891-A","S891A"
"2011-2012","S892","S892"
"2011-2012","S893","S893"
"2011-2012","S894-A","S894A"
"2011-2012","S895-A","S895A"
"2011-2012","S896","S896"
"2011-2012","S239-A","S239A"
"2011-2012","S180","S180"
"2011-2012","S181","S181"
"2011-2012","S182","S182"
"2011-2012","S183","S183"
"2011-2012","S194","S194"
"2011-2012","S195","S195"
"2011-2012","S1336","S1336"
"2011-2012","S1492","S1492"
"2011-2012","S1493","S1493"
"2011-2012","S1494","S1494"
"2011-2012","S1495","S1495"
"2011-2012","S1496-A","S1496A"
"2011-2012","S1497","S1497"
"2011-2012","S240","S240"
"2011-2012","S541-A","S541A"
"2011-2012","S1139","S1139"
"2011-2012","S1140","S1140"
"2011-2012","S1141","S1141"
"2011-2012","S1142","S1142"
"2011-2012","S1691","S1691"
"2011-2012","S1692","S1692"
"2011-2012","S1693","S1693"
"2011-2012","S1694","S1694"
"2011-2012","S1695","S1695"
"2011-2012","S1696","S1696"
"2011-2012","S1697","S1697"
"2011-2012","S1698-A","S1698A"
"2011-2012","S2468","S2468"
"2011-2012","S1498","S1498"
"2011-2012","S500","S500"
"2011-2012","S501","S501"
"2011-2012","S502-A","S502A"
"2011-2012","S503","S503"
"2011-2012","S504","S504"
"2011-2012","S773","S773"
"2011-2012","S774","S774"
"2011-2012","S232","S232"
"2011-2012","S233-A","S233A"
"2011-2012","S234","S234"
"2011-2012","S235","S235"
"2011-2012","S236","S236"
"2011-2012","S237","S237"
"2011-2012","S238","S238"
"2011-2012","S120-A","S120A"
"2011-2012","S121","S121"
"2011-2012","S122-A","S122A"
"2011-2012","S123-A","S123A"
"2011-2012","S124-A","S124A"
"2011-2012","S1143","S1143"
"2011-2012","S1144","S1144"
"2011-2012","S1145-A","S1145A"
"2011-2012","S1146","S1146"
"2011-2012","S1147","S1147"
"2011-2012","S1148","S1148"
"2011-2012","S1299","S1299"
"2011-2012","S1300","S1300"
"2011-2012","S12","S12"
"2011-2012","S415-A","S415A"
"2011-2012","S66","S66"
"2011-2012","S67-A","S67A"
"2011-2012","S68","S68"
"2011-2012","S69","S69"
"2011-2012","S196","S196"
"2011-2012","S197-A","S197A"
"2011-2012","S198","S198"
"2011-2012","S199","S199"
"2011-2012","S200","S200"
"2011-2012","S201","S201"
"2011-2012","S338","S338"
"2011-2012","S13","S13"
"2011-2012","S14","S14"
"2011-2012","S93","S93"
"2011-2012","S94-A","S94A"
"2011-2012","S95","S95"
"2011-2012","S96","S96"
"2011-2012","S97","S97"
"2011-2012","S98-A","S98A"
"2011-2012","S99","S99"
"2011-2012","S775","S775"
"2011-2012","S776","S776"
"2011-2012","S777","S777"
"2011-2012","S778","S778"
"2011-2012","S779","S779"
"2011-2012","S780","S780"
"2011-2012","S781","S781"
"2011-2012","S1176","S1176"
"2011-2012","S1177","S1177"
"2011-2012","S1178","S1178"
"2007-2008","S8276-A","S8276A"
"2007-2008","S8277","S8277"
"2007-2008","S8087","S8087"
"2007-2008","S8088","S8088"
"2007-2008","S8089","S8089"
"2007-2008","S8090","S8090"
"2007-2008","S8091","S8091"
"2007-2008","S8304","S8304"
"2007-2008","S8305","S8305"
"2007-2008","S8306","S8306"
"2007-2008","S8307-A","S8307A"
"2007-2008","S8308","S8308"
"2007-2008","S8309","S8309"
"2007-2008","S8310","S8310"
"2007-2008","S8311-A","S8311A"
"2007-2008","S8312","S8312"
"2011-2012","S367","S367"
"2011-2012","S368","S368"
"2011-2012","S369","S369"
"2011-2012","S137","S137"
"2011-2012","S138-A","S138A"
"2011-2012","S139-A","S139A"
