"BILL_PERIOD","BILLNUMAMEND","BILL_NORM"
"2007-2008","A2519","A2519"
"2007-2008","A2520","A2520"
"2007-2008","A2521","A2521"
"2007-2008","A2545","A2545"
"2007-2008","A2678-A","A2678A"
"2007-2008","A2738","A2738"
"2007-2008","A2739","A2739"
"2007-2008","A2740","A2740"
"2007-2008","A2400","A2400"
"2007-2008","A2401","A2401"
"2007-2008","A2402","A2402"
"2007-2008","A2476","A2476"
"2007-2008","A2477","A2477"
"2007-2008","A2478","A2478"
"2007-2008","A2321","A2321"
"2007-2008","A2322","A2322"
"2007-2008","A2323","A2323"
"2007-2008","A2324","A2324"
"2007-2008","A2325","A2325"
"2007-2008","A2326","A2326"
"2007-2008","A2702-A","A2702A"
"2007-2008","A2394","A2394"
"2007-2008","A2926","A2926"
"2007-2008","A2927","A2927"
"2007-2008","A2456","A2456"
"2007-2008","A2471","A2471"
"2007-2008","A2472","A2472"
"2007-2008","A2473","A2473"
"2007-2008","A2474","A2474"
"2007-2008","A2475","A2475"
"2007-2008","A2626","A2626"
"2007-2008","A2627","A2627"
"2007-2008","A2628","A2628"
"2007-2008","A2629","A2629"
"2007-2008","A2630","A2630"
"2007-2008","A2430","A2430"
"2007-2008","A2393","A2393"
"2007-2008","A2859","A2859"
"2007-2008","A2860","A2860"
"2007-2008","A2861","A2861"
"2007-2008","A2862","A2862"
"2007-2008","A2863","A2863"
"2007-2008","A2864","A2864"
"2007-2008","A2865","A2865"
"2007-2008","A2876","A2876"
"2007-2008","A2958","A2958"
"2007-2008","A2959","A2959"
"2007-2008","A2660","A2660"
"2007-2008","A2661","A2661"
"2007-2008","A2662","A2662"
"2007-2008","A2663","A2663"
"2007-2008","A2664","A2664"
"2007-2008","A2665","A2665"
"2007-2008","A2666-B","A2666B"
"2007-2008","A2689","A2689"
"2007-2008","A2690","A2690"
"2007-2008","A2822","A2822"
"2007-2008","A2877","A2877"
"2007-2008","A2800","A2800"
"2007-2008","A2703","A2703"
"2007-2008","A2704","A2704"
"2007-2008","A2705","A2705"
"2007-2008","A873","A873"
"2007-2008","A874","A874"
"2007-2008","A875","A875"
"2007-2008","A852","A852"
"2007-2008","A853","A853"
"2007-2008","A854","A854"
"2007-2008","A855","A855"
"2007-2008","A856","A856"
"2007-2008","A857-A","A857A"
"2007-2008","A858","A858"
"2007-2008","A1067","A1067"
"2007-2008","A1068","A1068"
"2007-2008","A1069","A1069"
"2007-2008","A1070","A1070"
"2007-2008","A1071","A1071"
"2007-2008","A1072","A1072"
"2007-2008","A1073","A1073"
"2007-2008","A1074","A1074"
"2007-2008","A1075","A1075"
"2007-2008","A1076","A1076"
"2007-2008","A1022","A1022"
"2007-2008","A1023","A1023"
"2007-2008","A1024","A1024"
"2007-2008","A1025","A1025"
"2007-2008","A1026","A1026"
"2007-2008","A557","A557"
"2007-2008","A585","A585"
"2007-2008","A586","A586"
"2007-2008","A587","A587"
"2007-2008","A588","A588"
"2007-2008","A589","A589"
"2007-2008","A590","A590"
"2007-2008","A591","A591"
"2007-2008","A592","A592"
"2007-2008","A593","A593"
"2007-2008","A594","A594"
"2007-2008","A595","A595"
"2007-2008","A802","A802"
"2007-2008","A803","A803"
"2007-2008","A804","A804"
"2007-2008","A805","A805"
"2007-2008","A806","A806"
